timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769960471859,101,Arama - Telefon,200,OK,Arama 1-1,text,true,,85359,356,1,1,https://www.n11.com/arama?q=telefon,85,0,0
1769960470321,1639,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162121,697,1,1,null,398,0,0
1769960472303,280,Ana sayfa,200,OK,Arama 1-1,text,true,,76636,341,1,1,https://www.n11.com/,268,0,0
1769960473306,92,Arama - Telefon,200,OK,Arama 1-1,text,true,,85343,356,1,1,https://www.n11.com/arama?q=telefon,78,0,0
1769960471960,1438,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161979,697,1,1,null,346,0,0
1769960474136,563,Ana sayfa,200,OK,Arama 1-1,text,true,,76500,341,1,1,https://www.n11.com/,544,0,0
1769960475247,93,Arama - Telefon,200,OK,Arama 1-1,text,true,,85351,356,1,1,https://www.n11.com/arama?q=telefon,77,0,0
1769960473398,1943,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161851,697,1,1,null,621,0,0
1769960475695,354,Ana sayfa,200,OK,Arama 1-1,text,true,,76606,341,1,1,https://www.n11.com/,341,0,0
1769960476735,97,Arama - Telefon,200,OK,Arama 1-1,text,true,,85359,356,1,1,https://www.n11.com/arama?q=telefon,78,0,0
1769960475341,1492,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161965,697,1,1,null,419,0,0
1769960477181,319,Ana sayfa,200,OK,Arama 1-1,text,true,,76465,341,1,1,https://www.n11.com/,309,0,0
1769960478253,118,Arama - Telefon,200,OK,Arama 1-1,text,true,,85351,356,1,1,https://www.n11.com/arama?q=telefon,100,0,0
1769960476833,1539,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161816,697,1,1,null,409,0,0
1769960479018,294,Ana sayfa,200,OK,Arama 1-1,text,true,,76645,341,1,1,https://www.n11.com/,282,0,0
1769960480072,101,Arama - Telefon,200,OK,Arama 1-1,text,true,,85359,356,1,1,https://www.n11.com/arama?q=telefon,84,0,0
1769960478372,1801,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162004,697,1,1,null,366,0,0
1769960480722,304,Ana sayfa,200,OK,Arama 1-1,text,true,,76613,341,1,1,https://www.n11.com/,282,0,0
1769960481669,126,Arama - Telefon,200,OK,Arama 1-1,text,true,,85359,356,1,1,https://www.n11.com/arama?q=telefon,112,0,0
1769960480173,1622,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161972,697,1,1,null,394,0,0
1769960482490,276,Ana sayfa,200,OK,Arama 1-1,text,true,,76707,341,1,1,https://www.n11.com/,260,0,0
1769960483263,156,Arama - Telefon,200,OK,Arama 1-1,text,true,,85364,356,1,1,https://www.n11.com/arama?q=telefon,141,0,0
1769960481795,1624,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162071,697,1,1,null,401,0,0
1769960483762,349,Ana sayfa,200,OK,Arama 1-1,text,true,,77354,341,1,1,https://www.n11.com/,340,0,0
1769960484853,91,Arama - Telefon,200,OK,Arama 1-1,text,true,,85351,356,1,1,https://www.n11.com/arama?q=telefon,79,0,0
1769960483419,1527,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162705,697,1,1,null,419,0,0
